ttyl, talk to you later
irl, in real life
np, no problem
omg, oh my god
omfg, oh my fucking god
nw, no way
hmu, hit me up
nm, never mind
hru, how are you
tldr, to long didn't read
brb, be right back
irl, in real life
b4n, by for now
bff, best friends forever
cul8r, see you later
idk, I don't know
idc, I don't care
gtg, got to go
eod, end of discussion
ff, friends forever
foaf, friend of a friend
f2f, face to face
gtg, got to go
hth, hope this helps
imo, in my opinion
imho, in my humble opinion
iykwim, if you know what I mean
jk, just kidding
jj, just joking
jw, just wondering
nw, no way
rofl, roll on the floor laughing
aka, also known as
faq, frequently asked question
fyi, for your information
cya, see you
asap, as soon as possible
btw, by the way
tmi, too much information
2mi, too much information
u2, you too
asl, age sex location
asla, age sex location availability
ayor, at your own risk
bfd, big fucking deal
wbu, what about you?
wdymbt, what do you mean by that
uok, you okay
tbh, to be honest
wtf, what the fuck
fml, fuck my life
wtb, want to buy
bisly, but I still love you
jtlyk, just to let you know
ftw, for the win
lolz, laugh out loud
lols, laugh ou loud
fwiw, for what it's worth
btaim, be that as it may
ntim, not that it matters
wb, welcome back
dh, darling husband
dw, darling wife
wtg, way to go
iirc, if I recall correctly
mego, my eyes glaze over
mtfbwy, may the force be with you
noob, amateur
noobs, amateurs
otoh, on the other hand
pmfji, pardon me for jumping in
qft, quoted for the truth
rtfm, read the fucking manual
sfsg, so far so good
xoxoxo, hugs and kisses
xoxo, hugs and kisses
tyvm, thank you very much
ttt, to the top
re:, regarding
wrt, with respect to
ymmv, your mileage may vary
bcnu, be seeing you
dbeyr, don't believe everything you read
ily, I love you
iso, in search of
j/k, just kidding
lmao, laughing my ass off
nimby, not in my back yard
oic, oh I see
sh, shit happens
sitd, still in the dark
stby, sucks to be you
swak, sealed with a kiss
tlc, tender loving care
tyvm, thank you very much
wywh, wish you were here
otr, off the record
stfu, shut the fuck up
usa, United States of America
tv, television
bb, be back
rn, right now
dk, don't know
omw, on my way
nbd, no big deal
